NOMGARE;PAYS;VILLEDESSERVIE;X;Y;TGV
Aix La Chapelle;Allemagne;AIX LA CHAPELLE;50,766667;6,1;
Berlin;Allemagne;Berlin;52,523781;13,411895;
Cologne;Allemagne;Cologne;50,933333;6,95;
Düsseldorf;Allemagne;Dusseldorf;51,225006;6,775627;
Francfort;Allemagne;Francfort;50,112258;8,684307;
Hambourg;Allemagne;Hambourg;53,549839;9,973259;
Karlsruhe;Allemagne;KARLSRUHE;49,017157;8,378334;
Mannheim;Allemagne;MANNHEIM;49,495783;8,465538;
Munich;Allemagne;Munich;48,15;11,583333;
Saarbruecken;Allemagne;SAARBRUECKEN;49,251224;6,996117;
Stuttgart;Allemagne;Stuttgart;48,804263;9,187657;
Anvers en Thalys;Belgique;Anvers;51,207352;4,426054;OUI
Bruges en Thalys;Belgique;Bruges;51,197622;3,217919;OUI
Bruxelles Midi en Thalys;Belgique;Bruxelles;50,854943;4,351215;OUI
Gand en Thalys;Belgique;Gand;51,0355;3,71055;OUI
Liège en Thalys;Belgique;Liege;50,624699;5,566968;
Ostende en Thalys;Belgique;Ostende;51,228889;2,925833;
Barcelona Franca, Renfe-SNCF en coopération;Espagne;Barcelone;41,384505;2,185142;OUI
Barcelona Sants, Renfe-SNCF en coopération;Espagne;Barcelone;41,378889;2,14;OUI
Figueras, Renfe-SNCF en coopération;Espagne;Figueres;42,265094;2,968792;OUI
Madrid Atocha, Renfe-SNCF en coopération;Espagne;Madrid;40,406683;-3,689292;OUI
Madrid Chamartin, Renfe-SNCF en coopération;Espagne;Madrid;40,4725;-3,681667;OUI
Montgenèvre gare routière (TGV + navette);France;Montgenèvre;44,9317;6,7219;
Abancourt;France;Abancourt;49,68525261;1,77443365; 
Abbeville;France;Abbeville;50,10195959;1,82422275;
Ablon-sur-Seine;France;Ablon-sur-Seine;48,72582619;2,4197887; 
Accolay;France;Accolay;47,65912374;3,71302163; 
Achères;France;Acheres;48,9693406;2,07778567; 
Achiet-le-Petit;France;Achiet-le-Petit;50,13232983;2,78045335; 
Adamswiller;France;Adamswiller;48,90772911;7,2130372; 
Agde;France;Agde;43,31757369;3,46602019;OUI
Agen;France;Agen;44,20835837;0,62030514;OUI
Agonac;France;Agonac;45,28648356;0,74855592; 
Agos-Vidalos;France;Agos-Vidalos;43,0356929;-0,07094645; 
Aguessac;France;Aguessac;44,15692857;3,09806018; 
Aguilcourt;France;Aguilcourt;49,4079265;3,9729816; 
Ahun;France;Ahun;46,12309327;2,02310228; 
Aiguebelette-le-Lac;France;Aiguebelette-le-Lac;45,53633103;5,81252329; 
Aiguebelle;France;Aiguebelle;45,54349974;6,30685029; 
