IDENTIFIANT;NOM;VILLE;CODE POSTAL;SCORE;RESIDENCE;THEME 1;THEME 2;VISUEL EXPEDIA;LATITUDE;LONGITUDE;PAYS;ETOILES;DESCRIPTION
1150116;Kyriad Nantes Centre;Nantes;44000;30000;;;;http://media.expedia.com/hotels/2000000/1160000/1150200/1150116/1150116_42_b.jpg;47.21186065673828;-1.560920000076294;FRA;3.0;"Cet hôtel se trouve au cœur de Nantes. <br /><br />Le Lieu Unique (0;3 km) • Jardin des Plantes (0;3 km) • Château des ducs de Bretagne (0;5 km) • Cathédrale de Nantes (0;5 km) • Passage Pommeraye (1;3 km)."
8313922;Balladins Nantes-Carquefou;Carquefou;44470;20000;;;;http://media.expedia.com/hotels/9000000/8320000/8314000/8313922/8313922_1_b.jpg;47.26889419555664;-1.484997034072876;FRA;2.0;"Cet hôtel se trouve à Carquefou. <br /><br />Golf de Carquefou (2;1 km) • Stade de la Beaujoire (3;4 km) • Atlanpole (3;6 km)"
8510800;Hôtel des Marais Salants;Batz-sur-Mer;44740;100;;;;http://media.expedia.com/hotels/9000000/8520000/8510800/8510800/8510800_1_b.jpg;47.28048324584961;-2.479259967803955;FRA;0.0;
8633100;Hotel La Closerie;La Baule-Escoublac;44500;30000;;;;http://media.expedia.com/hotels/9000000/8640000/8633100/8633100/8633100_3_b.jpg;47.2840461730957;-2.403559923171997;FRA;3.0;"Cet hôtel de La Baule-Escoublac est situé près de la plage. <br /><br />Notre-Dame de La Baule (0;5 km) • Plage de La Baule (0;8 km) • Casino de Pornichet (4;7 km) • Centre de thalassothérapie Daniel Jouvance (5 km)"
7520968;Voyage Desirable - Le Santeuil;Nantes;44000;30000;;;;http://media.expedia.com/hotels/8000000/7530000/7521000/7520968/7520968_5_b.jpg;47.21306610107422;-1.560318946838379;FRA;3.0;"Cet appartement est situé en centre-ville. <br /><br />Passage Pommeraye (0;1 km) • Mémorial de l'abolition de l'esclavage (0;5 km) • Château des ducs de Bretagne (0;8 km) • Cathédrale de Nantes (0;9 km) • Machines de l'Ile de Nantes (1;1 km)"
2057701;Holiday Inn Express Saint-Nazaire;Saint-Nazaire;44600;30000;;;;http://media.expedia.com/hotels/3000000/2060000/2057800/2057701/2057701_64_b.jpg;47.27558898925781;-2.2049200534820557;FRA;3.0;"Cet hôtel est situé en centre-ville. <br /><br />Serpent d'océan (2;8 km) • Musée maritime (2;9 km) • Église de Saint-Brévin-les-Pins (4;3 km) • Hippodrome de Pornichet-La Baule (9;9 km)"
13344;Ibis Nantes Centre quicky.model.Gare Sud;Nantes;44000;100;;;;http://media.expedia.com/hotels/1000000/20000/13400/13344/13344_1_b.jpg;47.21514892578125;-1.5470600128173828;FRA;0.0;"Cet hôtel se trouve à Nantes. <br /><br />Le Lieu Unique (0;1 km) • Château des ducs de Bretagne (0;3 km) • Cathédrale de Nantes (0;5 km) • Jardin des Plantes (0;6 km) • Passage Pommeraye (1 km)"
1397598;Hôtel Atlantys;Saint-Herblain;44800;30000;;;;http://media.expedia.com/hotels/2000000/1400000/1397600/1397598/1397598_9_b.jpg;47.22779846191406;-1.6330699920654297;FRA;3.0;"Cet hôtel se trouve à Saint-Herblain. <br /><br />Zénith de Nantes (0;3 km) • Atlantis Shopping Centre (0;6 km) • Manoir de la Bégraisière (1;4 km)"
2686623;Hotel La Concorde;La Baule-Escoublac;44500;30000;;;;http://media.expedia.com/hotels/3000000/2690000/2686700/2686623/2686623_10_b.jpg;47.28193283081055;-2.3997950553894043;FRA;3.0;"L'Hôtel La Concorde jouit d'une  excellente situation en plein coeur de La Baule ; une paisible station balnéaire française sur les côtes de l'Atlantique; au sud de la Bretagne.      Elégante demeure située en léger retrait du boulevard de la mer; face à l'océan et à la plage; l'Hôtel La Concorde vous invite au dépaysement dans un cadre personnalisé. Les installations de l'établissement comprennent un bar; un salon spacieux et une agréable terrasse ornée de parterres de fleurs; vous garantissant ainsi un séjour détendu à La Baule.      Si vous souhaitez rester en contact avec votre travail; votre famille et vos amis; vous pouvez chatter et consulter vos e-mails grâce à la connexion ADSL à Internet gratuitement disponible dans le hall de l'hôtel."
8000217;Voyage Desirable - La Pecherie Imaginaire;Nantes;44100;100;;;;http://media.expedia.com/hotels/9000000/8010000/8000300/8000217/8000217_6_b.jpg;47.20905685424805;-1.572221040725708;FRA;0.0;"Cet appartement se trouve à Nantes. <br /><br />Eglise Notre-Dame de Bon Port (0;3 km) • Musée d'histoire naturelle de Nantes (0;7 km) • Musée Jules Verne (0;9 km) • Passage Pommeraye (1;1 km) • Château des ducs de Bretagne (1;8 km)"
